lr,lc,rc,ld,rd,lnnz,rnnz,smdm_total_latency,smsm_total_latency
93935,73922,13905,0.00034241,0.005,2377694,5139488,83121,14305
18107,12950,22537,0.00015297,0.23,35872,67129085,35435,26974
1882,96408,20517,0.00082282,0.03,149344,59340961,54946,4887
111945,49638,6764,0.01084252,0.01,60249528,3357904,1084865,134543
38161,17898,18304,0.00056263,0.15,384302,49144312,44019,62884
23590,50019,790,0.01084252,0.3,12793700,11868472,13863,21601
44607,19677,39166,0.00952101,0.005,8357244,3853527,483332,92943
69020,29619,10640,0.00160539,0.05,3281969,15758694,68911,82509
11367,36617,26881,0.00041097,0.01,171068,9843198,26302,3148
46820,35088,10000,0.00056263,0.13,924313,45617340,26975,59092
38268,81011,14807,0.00047003,0.03,1457165,35986213,55346,46217
132093,55926,7122,0.00082282,0.15,6078625,59750458,174944,201807
51899,68702,24643,0.00082487,0.005,2941198,8465346,130334,27109
18531,49721,8755,0.00056263,0.07,518413,30473466,18337,15634
100503,41730,17765,0.00082282,0.001,3450970,741384,149330,3884
124443,1564,13001,0.00860544,0.13,1675223,2644071,49492,135082
534,13928,46240,0.00078778,0.1,5865,64406972,18037,3056
77181,35387,4599,0.00015297,0.13,417799,21158611,15664,16480
5039,15645,35277,0.00082282,0.1,64872,55191732,22920,12864
6114,42664,21141,0.00370564,0.07,966637,63139837,47724,23173
142799,91268,3641,0.00019487,0.2,2539749,66471738,56955,86090
20374,10310,31417,0.00018467,0.05,38792,16196325,19771,4131
66970,42015,17454,0.00034241,0.07,963482,51334084,69109,82683
90343,3655,18815,0.00108175,0.2,357278,13757150,26194,82586
91534,90483,8372,0.00056263,0.005,4659902,3787658,98045,14965
89398,60028,20137,0.00952101,0.0005,51094075,604412,2317687,36508
96832,17872,6773,0.00082487,0.15,1427529,18159347,28712,84182
128372,79220,6917,0.00047003,0.03,4780060,16440271,114701,73866
88618,85186,4158,0.00082282,0.005,6211553,1771071,64711,11797
112303,45995,9913,2.09E-05,0.1,107854,45596748,42215,19662
60438,8929,15095,0.00108175,0.27,583790,36393207,32752,108581
136012,27908,6746,0.00047003,0.3,1784207,56486517,55493,136643
78999,60750,8504,0.00182521,0.01,8759666,5166703,144081,50558
16672,417,36969,0.00491597,0.15,34197,2313742,5864,11547
75568,16383,12784,0.00047003,0.2,581926,41891097,37293,92044
97236,43938,16814,0.00019487,0.07,832563,51714974,71324,102600
35846,61657,3717,0.00031941,0.15,705954,34379891,13852,15624
68113,13437,20825,0.00041097,0.17,376160,47574732,41506,108063
50356,4068,16876,0.00041097,0.25,84193,17164582,11862,24212
119923,10303,10249,0.00491597,0.13,6074116,13728464,174489,194588
20934,24889,3564,0.00160539,0.13,836506,11532585,5411,12540
132120,96192,6405,1.65E-05,0.05,209826,30806895,35408,6377
10790,12194,40234,0.00018467,0.13,24300,63785073,21453,8820
12772,39884,13684,0.00370564,0.005,1887745,2729065,37432,9068
2722,44253,7025,0.00182521,0.15,219888,46638421,16377,4172
142072,17946,11968,0.00082487,0.2,2103129,42957373,88344,232804
70048,28008,26539,0.00082185,0.05,1612399,37166650,102677,152568
100808,17638,14925,0.00082282,0.2,1463054,52651214,70800,209877
129536,95059,1952,0.00078778,0.17,9700462,31551020,82901,72505
65163,9342,6235,0.00082282,0.03,500927,1747705,8905,7724
59101,62115,32953,0.00860544,0.0005,31591547,1023447,1669980,33283
58225,64324,30532,0.00860544,0.03,32230464,58919556,1632338,435324
50680,25677,28317,0.00491597,0.01,6397329,7271102,292288,104325
138502,70304,8703,0.00163948,0.03,15964237,18356833,524662,178173
52019,19591,23435,0.00296184,0.01,3018553,4591472,113669,47088
146306,88028,7276,8.43E-05,0.01,1085579,6405159,35615,8953
14556,57246,26971,0.00370564,0.03,3087915,46321340,135620,61188
67585,15411,9898,0.00108175,0.01,1126733,1525502,23521,8385
32462,15191,13139,0.00163948,0.27,808537,53896833,38689,69020
28228,11045,15236,0.00041097,0.2,128145,33659647,20014,30814
29927,62586,11380,0.00182521,0.01,3418698,7122438,62638,24762
71474,69560,20116,0.01084252,0.03,53906672,41978567,1821285,425777
57949,5272,7868,0.00082185,0.25,251103,10371988,8366,30776
89753,32138,1992,0.00041097,0.17,1185455,10883853,10486,21734
131054,99310,12348,0.00082282,0.0005,10709064,613151,455636,4571
2914,11502,8793,0.00952101,0.07,319125,7080480,5040,3388
16321,5681,20462,0.00108175,0.25,100302,29062590,16660,30216
121477,76645,4221,0.00108175,0.2,10071912,64704944,168301,174168
52831,44990,2389,0.00952101,0.005,22630667,537523,86898,10885
31675,6269,42255,0.01084252,0.17,2153149,45035833,136000,235241
74301,63567,7783,0.00056263,0.005,2657414,2473820,43821,9281
13665,51673,35578,0.00296184,0.001,2091471,1838479,119465,5071
94363,5230,18546,0.00082282,0.05,406121,4850452,28446,29114
8068,7164,27509,0.00056263,0.3,32525,59128652,27268,25835
28048,74855,22865,0.00041097,0.03,862884,51349575,65925,61197
22323,42565,16360,0.00041097,0.01,390512,6964035,26521,4748
39622,7533,18033,0.00860544,0.23,2568732,31246910,76720,128306
74912,1334,3484,0.00160539,0.27,160485,1255295,3356,9640
33516,14747,19335,0.00108175,0.17,534712,48476577,38676,86110
114172,84698,4706,0.00031941,0.13,3088770,51822721,50793,93321
51159,22716,2259,0.00160539,0.27,1865687,13857905,6810,19250
95780,10019,13673,0.00860544,0.2,8258001,27398640,277881,335815
29145,26837,12010,2.48E-05,0.2,19422,64466532,34477,4995
19262,19661,44929,0.00041097,0.03,155648,26502292,43454,14889
116600,39982,10365,2.48E-05,0.13,115757,53874609,50620,13211
43985,51149,5612,0.00019487,0.2,438430,57413097,33783,23857
5833,13106,13574,0.00078778,0.23,60230,40921165,5251,8375
42872,36656,45279,0.00108175,0.03,1700014,49793592,160920,165789
44532,42425,24016,0.00082282,0.01,1554564,10188931,74633,28841
63829,65265,2883,0.00078778,0.2,3281826,37639716,18362,35894
37478,44058,20620,0.00163948,0.05,2707214,45424658,114210,119852
78377,82115,5569,4.64E-06,0.15,29862,68598327,21696,3571
12771,2864,41620,0.00370564,0.05,135589,5961984,13555,19361
43277,34415,10719,2.09E-05,0.17,31099,62713614,20387,5309
74690,89120,1325,0.00952101,0.3,63375803,35445931,138858,203002
28925,32171,1179,0.02533638,0.25,23577756,9490568,40398,42091
27798,99771,1086,0.00082185,0.15,2279420,16265520,5623,5436
92588,76143,8287,0.00370564,0.01,26124739,6310421,521310,103475
19873,25286,15199,0.00082487,0.01,414516,3843351,17924,4286
18538,7014,20071,0.00034241,0.3,44530,42240634,21414,15340
149323,67547,4282,0.00015297,0.1,1542930,28927304,40225,51931
22793,33724,31752,0.02533638,0.05,19476525,53542218,939134,277580
43685,44183,21364,0.00296184,0.03,5716843,28319082,215202,127256
42203,12804,3583,0.00296184,0.03,1600566,1376601,9883,11066
143064,27390,4220,0.00182521,0.17,7152354,19651828,116857,117615
127324,14202,12459,0.00108175,0.3,1956124,53085074,82932,261416
13357,3737,49963,0.00041097,0.17,20517,31744729,16397,16756
40002,981,44624,0.00056263,0.2,22081,8756289,15861,11449
74291,80848,3239,0.00163948,0.1,9847228,26190280,63383,61738
31991,6296,36602,0.00047003,0.25,94679,57616614,25113,57248
23746,25972,7874,0.00296184,0.23,1826750,47039032,19924,38865
74610,26810,14303,0.00296184,0.17,5924737,65191887,169459,250366
65748,99094,10392,0.00160539,0.03,10459562,30896059,193334,112078
18807,42546,7773,0.00296184,0.01,2370036,3307212,27079,10980
138930,71018,4653,0.00370564,0.13,36562006,42958652,624353,312380
71338,23827,8242,0.00108175,0.15,1838785,29459093,36526,85032
90385,90948,10324,0.00082282,0.01,6763959,9390426,179495,54106
140665,33115,8686,0.00082282,0.2,3832931,57534165,135032,218311
16385,32857,38118,0.00031941,0.05,171967,62624728,45678,35309
130997,97478,5628,0.00034241,0.1,4372373,54866216,118387,112922
97988,90894,1071,0.00491597,0.05,43784546,4870704,124092,27391
102500,24094,2280,0.00491597,0.13,12140976,7142411,74558,62418
47798,3110,28586,0.00056263,0.17,83652,15116762,17027,29873
23814,1018,48086,0.00952101,0.13,231013,6369073,21404,71143
53770,47912,3867,8.43E-05,0.15,217151,27796657,14846,8598
103121,54679,7164,0.00031941,0.005,1801054,1958861,35107,4691
58322,77224,10797,0.00013363,0.05,601855,41691005,35791,24498
35524,41436,6917,0.00952101,0.2,14014718,57328830,174806,143475
43302,45284,14962,0.00296184,0.005,5807920,3387749,145379,25726
84523,11011,1749,0.00370564,0.25,3449017,4815656,12057,27403
84648,73824,13503,0.00370564,0.001,23157073,996878,641554,23818
100244,35635,8152,0.01084252,0.2,38732330,58104573,791511,681170
138303,18150,13971,0.00082185,0.07,2063103,17751906,91696,137062
44505,35175,16888,0.00078778,0.07,1233261,41583426,60068,75249
147051,82507,5608,1.65E-05,0.1,200313,46271228,37925,10300
72704,18392,4955,0.00019487,0.25,260581,22786062,12547,24885
8779,36647,6390,0.00019487,0.15,62700,35131012,11650,3898
103079,97058,3286,0.00160539,0.05,16061500,15947821,156074,68478
8177,95526,12402,0.00041097,0.05,321034,59238666,38358,10547
122482,19786,12730,1.65E-05,0.17,40012,42820136,32737,7018
108745,75656,5691,0.00034241,0.01,2817126,4306203,47893,14394
21168,56690,12862,0.00047003,0.03,564060,21875878,25901,18301
82934,89137,21601,0.00078778,0.001,5823727,1925541,278784,11231
130037,81420,4458,2.09E-05,0.13,221070,47194872,35996,21363
17761,12482,19037,0.00108175,0.23,239836,54655392,28936,34431
94620,16968,5258,0.00034241,0.17,549754,15167798,12188,32546
122207,14899,5845,0.00182521,0.27,3323317,23513390,62911,131448
89262,57918,2855,0.00078778,0.1,4072797,16539698,31927,43624
104718,80904,9719,0.00047003,0.005,3982197,3931777,107727,15897
19520,28939,5171,0.00013363,0.15,75487,22446812,4462,3942
43224,52105,38250,0.00163948,0.005,3692533,9965391,233990,49932
94987,12224,14802,0.00078778,0.13,914710,23522693,41059,113319
20831,8682,41118,0.00013363,0.13,24169,46412372,25216,19098
53738,26467,4506,0.00182521,0.27,2595988,32206345,29912,52861
62935,61032,3657,8.43E-05,0.1,323765,22324791,11113,8840
128013,44114,3058,0.00952101,0.23,53767513,31027824,485418,375175
17742,94537,13252,0.00082487,0.05,1383598,62644673,72364,32006
142896,21726,14369,0.00047003,0.05,1459268,15609663,68205,81302
108531,26544,12907,0.00082185,0.2,2367652,68524091,105291,214764
94993,26394,10190,0.00019487,0.05,488607,13449176,25441,21101
30683,7848,9094,0.00019487,0.27,46930,19272087,9370,11681
87110,32352,7509,0.00082487,0.17,2324706,41300557,56277,111633
51052,10294,38208,0.00082487,0.07,433534,27534437,51818,88880
79009,20012,10703,0.00015297,0.3,241869,64258202,24138,58486
7046,8924,21673,0.00860544,0.07,541209,13540082,16270,20044
28442,20562,34164,0.00031941,0.05,186808,35125405,42920,29548
136127,63170,15066,0.00082487,0.0005,7093277,475885,374441,3449
69415,51475,23755,0.00952101,0.01,34020846,12228430,1300360,241296
142708,11407,11904,0.00031941,0.25,519997,33950284,34519,117107
51481,96219,1803,0.00082487,0.07,4086061,12147185,14322,13930
18541,84938,8146,0.02533638,0.01,39902020,6919739,454056,34302
19481,15649,13349,0.00015297,0.27,46635,56405375,22353,10640
84371,56043,3237,0.00082487,0.17,3900416,30847285,44706,58925
32378,42098,3830,0.00015297,0.27,208509,43537357,5403,11394
148838,6317,11146,0.00160539,0.15,1509526,10562426,47910,144953
68204,96895,3091,1.65E-05,0.23,109109,68892016,19894,7097
29075,18260,15175,0.00082282,0.17,436866,47109404,36575,55850
113859,37739,2201,0.00108175,0.2,4648226,16613321,32907,50078
95770,67892,894,0.00056263,0.13,3658263,7895872,8523,13589
106020,59554,2520,0.00056263,0.27,3552434,40522244,38425,54572
107778,66480,12559,0.00034241,0.05,2453429,41746687,106677,121539
64485,38227,14351,0.00082185,0.05,2025966,27432188,66235,97947
60940,91826,10362,0.00860544,0.001,48156018,951548,778658,28478
10038,78818,13331,0.01084252,0.005,8579132,5253717,162413,19527
53164,5448,23888,0.02533638,0.17,7339671,22128929,270218,305291
66376,69071,6541,8.43E-05,0.05,386443,22591672,26185,10451
101778,89470,6498,0.00047003,0.1,4280134,58141927,84932,127198
116778,87515,4430,0.00041097,0.17,4200087,65916071,83852,95474
77291,3698,16712,0.02533638,0.05,7242093,3090220,195641,158371
111385,753,14947,0.01084252,0.17,909650,1913960,32832,107097
109458,88928,14145,2.48E-05,0.01,241692,12579474,47466,3036
6385,25637,2198,0.02533638,0.13,4147755,7328250,11117,7171
107587,53799,3145,0.00108175,0.25,6261286,42301711,73882,79405
33148,22849,33330,0.00047003,0.07,356008,53309296,58579,62160
75009,26498,16496,0.01084252,0.01,21551351,4371284,587488,145648
111072,80551,12379,8.43E-05,0.03,754142,29914794,60560,29777
74870,36072,27484,0.00082282,0.07,2222250,69401615,153652,251642
123079,89487,5142,0.00491597,0.15,54145161,69023104,918496,501432
47933,76601,10278,0.00056263,0.005,2065877,3936721,46196,9540
26698,40091,6699,0.00034241,0.07,366502,18800739,11761,11139
21438,64521,24446,0.00013363,0.01,184842,15773406,48046,3664
11997,68920,18790,0.00056263,0.005,465228,6475064,35647,3141
33223,49856,17185,0.00860544,0.005,14254281,4284120,379679,62475
77801,96142,3666,0.00182521,0.15,13652736,52871746,123883,103930
22032,31720,9581,2.48E-05,0.15,17353,45587985,19483,3014
115719,20583,6112,0.01084252,0.3,25826382,37745702,446246,482829
42186,10950,14594,0.02533638,0.27,11704800,43152468,267574,321890
32673,39568,49151,0.00031941,0.005,412947,9724260,72992,7110
143714,22980,12572,1.65E-05,0.2,54526,57785245,45969,11312
119630,45305,2454,0.01084252,0.25,58765872,27799424,399638,347977
93688,68661,1699,0.00491597,0.03,31623603,3500534,132346,32200
110718,29280,11136,0.00082487,0.15,2674171,48911206,95000,187367
94680,42028,2534,0.00031941,0.3,1271037,31950724,17598,40586
15680,14140,18518,0.01084252,0.1,2404173,26186650,58897,59118
86135,93982,1850,0.00163948,0.25,13271960,43475914,59309,74614
126581,9573,4946,0.00013363,0.23,161935,10891312,8578,15433
54009,46386,5420,2.48E-05,0.17,62206,42742862,21428,4817
137014,11631,9552,0.00160539,0.15,2558512,16666296,71999,155939
63713,21323,23956,0.00182521,0.005,2479672,2554145,99389,22098
131999,47960,2813,0.00491597,0.13,31122087,17541515,298316,156862
95301,80545,1698,0.00860544,0.17,66056619,23258728,277878,178657
129193,32001,2580,0.00160539,0.005,6637235,412842,56865,7359
68035,27306,9442,0.00163948,0.01,3045896,2578516,51147,21264
13954,33818,38054,0.00082185,0.005,387836,6434699,47460,5194
102345,57425,700,0.00082282,0.15,4835921,6030907,8996,12687
72890,27850,27190,2.09E-05,0.03,42386,22717755,40898,3124
21666,33248,5593,0.00952101,0.005,6858738,929873,55347,10647
147234,74227,1712,0.00013363,0.2,1460409,25420363,19021,32416
56321,36599,7429,0.00082282,0.2,1696088,54381734,44862,71123
82840,10157,19741,0.00082185,0.05,691514,10025733,38480,50175
96949,81327,14697,0.00160539,0.0005,12657865,597650,469298,5323
17885,32715,8291,0.01084252,0.25,6344550,67818889,86770,91338
44105,91489,3582,0.00015297,0.13,617263,42614526,17693,14744
95374,20504,8198,2.09E-05,0.17,40832,28578981,18380,4380
71664,10810,29819,8.43E-05,0.2,65301,64471618,48084,48612
29238,38008,8068,0.00082282,0.05,914412,15333951,23183,25322
28673,37852,8958,0.00078778,0.07,855029,23738532,28887,35243
109992,20548,3259,0.00108175,0.05,2444972,3349236,21680,25015
70936,12075,11426,0.01084252,0.05,9287952,6899502,171523,114664
94279,87168,2025,0.00108175,0.13,8889986,22954618,52951,44575
48933,34598,25335,0.00013363,0.07,226243,61360965,66007,42092
126403,24422,11234,0.00491597,0.0005,15176022,137190,524466,3897
82427,71610,25398,0.00160539,0.01,9476046,18187884,498587,152433
42738,34811,33201,0.00108175,0.03,1609436,34674352,109057,105966
85711,12614,14683,0.00047003,0.25,508191,46305808,40643,126349
86472,8947,13177,0.00952101,0.05,7366241,5894871,201473,137219
54984,83377,6102,0.00034241,0.13,1569776,66141241,33994,56188
63724,95476,2057,0.00952101,0.25,57927529,49106905,189533,226254
30439,9865,24460,0.00018467,0.27,55458,65158616,34147,35551
146542,47400,14083,0.00015297,0.005,1062553,3337732,53824,7298
100748,15470,15642,0.00952101,0.23,14839426,55657285,593872,507665
87925,32547,8362,0.00041097,0.25,1176079,68044245,35889,118954
130042,65776,1914,0.00047003,0.17,4020542,21404568,41053,49148
5809,84755,1876,0.00952101,0.27,4688257,42949093,14972,18919
77698,6250,17920,0.00082487,0.3,400582,33602895,33845,128476
78663,19299,12625,0.00082185,0.005,1247707,1218330,35819,6428
2649,84683,24624,0.02533638,0.0005,5684914,1042655,205150,3846
38606,87918,4883,0.00491597,0.005,16685899,2146730,134838,20147
52088,15022,17838,0.00041097,0.03,321591,8039611,22549,14160
66429,32330,13784,0.00047003,0.15,1009475,66849248,55638,123947
66514,4151,7842,0.00182521,0.25,504027,8140384,10967,49672
98886,8611,6183,0.00078778,0.17,670882,9052354,13423,46085
133625,11526,13352,0.00491597,0.25,7571851,38478673,331395,426845
145430,80648,3878,0.00031941,0.13,3746282,40663288,75070,103733
64097,29365,29174,0.00182521,0.005,3435449,4283573,168305,35713
100514,35548,10445,0.00182521,0.15,6521707,55698280,207022,233497
90087,69439,2220,0.00018467,0.2,1155221,30836400,8834,22565
138340,85490,3479,0.00082185,0.17,9719856,50563045,129599,138005
114462,63098,14564,0.00860544,0.005,62151931,4595101,2550475,208736
140006,72416,7045,0.00296184,0.1,30029388,51019636,797917,327001
53373,79021,8062,0.00047003,0.01,1982397,6371423,37529,14101
135369,2777,4545,0.00296184,0.25,1113521,3156135,14729,57759
62466,4438,32038,0.00108175,0.13,299930,18486882,34801,84903
95597,13088,12262,0.00056263,0.23,703966,36915078,38388,114984
89687,14939,11773,0.00018467,0.15,247437,26384414,24940,33513
26933,53755,4812,0.00296184,0.17,4288244,43978008,38932,46048
55439,80579,1561,0.00182521,0.27,8153832,33966424,21608,35777
21709,41970,48083,0.00082185,0.005,748834,10090381,85512,12222
91142,12972,5935,0.00860544,0.25,10174449,19249592,139133,185823
119981,16464,15334,0.00491597,0.23,9711217,58070574,460189,531187
29019,10514,24642,0.00296184,0.27,903732,69957326,44448,114034
114594,84115,1038,0.00034241,0.03,3300535,2619409,11313,7428
86561,24401,3775,0.00082487,0.03,1742347,2763954,14752,16184
124514,47794,16982,8.43E-05,0.07,501618,56817108,72763,69418
31956,78638,13446,0.01084252,0.03,27247411,31722895,538807,125374
52888,85865,4136,0.01084252,0.005,49238999,1775691,311412,26473
10843,14458,30625,0.02533638,0.1,3972218,44279242,148506,109927
93284,87084,5230,0.00034241,0.15,2781610,68321502,62752,63625
87996,78232,2474,0.00015297,0.27,1053073,52257739,28872,26724
88707,27388,1625,0.00056263,0.03,1366926,1335779,5984,4582
143769,831,14638,0.00056263,0.3,67259,3651449,17226,19677
109062,5263,9675,0.00047003,0.3,269817,15277662,14870,55539
67532,50777,1204,0.00078778,0.13,2701416,7948751,5892,11829
82627,55397,7160,0.00491597,0.05,22502235,19832457,327359,133713
13864,64032,10136,0.00018467,0.07,163951,45434242,22416,17626
27251,27654,2344,0.00182521,0.2,1375507,12964342,5092,10235
16002,44523,28106,0.00082185,0.03,585545,37542424,47609,34778
63695,910,24354,0.00370564,0.27,214848,5985484,19461,75294
128795,85917,4489,0.00296184,0.1,32775248,38574923,498832,224172
98193,18707,13920,0.00047003,0.03,863416,7812474,37158,29290
45950,9687,41068,0.00034241,0.15,152428,59680999,59071,95317
7102,52391,13348,0.00082185,0.07,305834,48953765,27223,10178
117473,19911,12853,0.00047003,0.17,1099416,43509121,54231,158593
55589,12127,32021,2.48E-05,0.1,16738,38832786,40291,3854
147025,66880,218,0.00370564,0.2,36438004,2922724,29211,19855
104630,9380,10427,0.02533638,0.15,24867579,14672396,565954,341557
43142,34755,14831,0.00082282,0.03,1233770,15463876,42546,38376
54758,12540,25519,2.48E-05,0.13,17051,41604103,37511,4272
57762,16292,4668,0.00041097,0.23,386753,17495317,8743,24319
20049,47038,2896,0.00082185,0.03,775081,4087193,5967,3742
147112,7137,7651,0.00082282,0.17,863924,9283280,22982,75155
143793,94530,4731,0.00082487,0.13,11212368,58149374,207716,162516
10259,33362,19781,0.00056263,0.05,192576,32997732,23792,11940
37955,17548,11944,0.00082487,0.27,549420,56592894,36331,63792
12794,30404,11169,0.00491597,0.005,1912423,1698029,30608,7137
41716,1528,48939,0.00296184,0.15,188905,11223410,28318,81853
37196,29105,16987,0.00078778,0.005,852870,2472196,30176,4593
110126,57098,2512,0.00952101,0.23,59868882,32993807,398454,322569
18148,18364,19419,0.00056263,0.17,187516,60629063,37355,40646
16566,5053,30020,0.00082487,0.05,69054,7585169,10604,8108
42216,29401,12661,0.00182521,0.07,2265511,26059241,58409,73700
50918,55054,16409,0.00082487,0.07,2312356,63239497,99369,132713
39523,49021,420,0.00952101,0.3,18446961,6189340,11678,15018
59727,21613,3717,0.00018467,0.2,238399,16068081,7423,11422
117355,60103,17382,0.00108175,0.01,7630172,10447266,409906,99940
22975,2381,40471,0.00056263,0.2,30779,19273426,12627,16051
46426,68796,19586,0.00163948,0.005,5236474,6737523,179413,38281
77644,42191,6829,0.00082185,0.1,2692352,28816240,39372,79089
46157,10736,40629,0.00108175,0.03,536103,13087097,51124,48013
78246,20255,7759,0.00860544,0.27,13638659,42434269,202337,295477
29621,57362,22002,0.00491597,0.001,8353081,1262109,286920,13209
33699,35145,10559,0.00034241,0.17,405551,63091417,24472,45367
10160,10643,36369,0.01084252,0.13,1172463,50321986,58767,63426
71007,30439,12782,0.00491597,0.03,10625341,11672683,233931,123118
70841,95545,4315,0.00018467,0.13,1249953,53608194,24951,33986
18458,7585,7211,0.00296184,0.13,414729,7111664,4568,14536
41773,25567,33592,0.00491597,0.005,5250507,4294467,275333,54589
128996,668,6676,0.00370564,0.15,319550,669462,10444,19749
89709,77798,10540,0.00860544,0.005,60059627,4100339,1442649,129761
41096,24657,10578,8.43E-05,0.2,85416,52171098,19417,23277
88998,25196,4008,0.00047003,0.15,1054009,15149256,13539,37942
69350,66165,24872,0.01084252,0.005,49752332,8228563,2007544,224541
71370,29843,4520,0.00952101,0.1,20279199,13490858,163986,109000
90282,18060,8953,0.00082185,0.23,1340051,37192600,37104,111553
124279,58082,2980,0.00182521,0.13,13175139,22507337,142173,101269
7128,53948,5382,0.00370564,0.03,1425149,8712135,14765,5368
96616,42132,9562,0.00952101,0.15,38757311,60433585,926605,602109
110918,77937,287,0.00370564,0.3,32034001,6729845,25965,28751
69289,39490,997,0.00860544,0.01,23546945,394054,39810,7777
22891,26710,6186,0.00182521,0.2,1116029,33050967,11571,23093
52755,19228,29793,0.00370564,0.005,3759071,2864446,183109,35975
56308,63527,3129,2.09E-05,0.25,74690,49705772,5404,4850
103856,3453,7023,0.00018467,0.25,66239,6064228,7516,9709
41358,4737,34011,0.02533638,0.2,4964527,32227261,253213,330888
145137,20818,863,0.00182521,0.17,5514892,3055598,16827,23352
109665,6151,15353,0.00034241,0.23,230997,21723744,25410,61576
11952,74935,8091,0.00952101,0.005,8527475,3031693,99567,10416
46695,49204,25095,0.00370564,0.01,8514146,12347903,362854,111936
36936,6590,2715,0.02533638,0.25,6167237,4474496,24478,32803
14650,69733,5863,0.00952101,0.07,9727138,28621998,90075,37847
25995,9051,12183,8.43E-05,0.3,19833,33083781,13711,4889
114912,19521,9190,0.00013363,0.27,299762,48442173,28080,60091
81165,17642,17014,0.02533638,0.0005,36281731,150088,1082800,12663
51516,2445,32346,0.00163948,0.2,206540,15820150,24293,80163
32152,41437,13492,0.00056263,0.01,749593,5590941,27470,9099
59398,50314,20177,0.00370564,0.001,11074702,1015194,373824,15863
80562,96020,7597,0.00082487,0.05,6380934,36477889,120340,115349
51851,42871,2236,0.00370564,0.27,8237471,25889428,30133,46592
78317,2304,19474,0.01084252,0.3,1956645,13461883,65295,197538
102293,92149,15717,0.00031941,0.03,3010847,43449860,154568,117930
35599,9585,38332,0.00108175,0.03,369118,11022608,36829,32727
13153,76904,23956,0.00860544,0.005,8704881,9211673,297229,36644
99388,95942,2157,0.00370564,0.01,35335477,2069510,205773,26649
36173,25067,26327,8.43E-05,0.05,76429,32997420,40142,14537
39842,1425,32746,0.01084252,0.3,615624,13999723,36399,152135
116813,8656,13214,0.00182521,0.15,1845678,17158782,63761,173197
93625,60734,3466,8.43E-05,0.1,479297,21052577,18784,13035
23399,92273,11825,0.00491597,0.05,10614466,54558606,224156,95641
130944,7357,2193,0.00491597,0.3,4735839,4841866,33800,58310
127540,34581,6895,0.00296184,0.1,13063152,23844034,303647,197623
7929,9555,22561,0.00296184,0.15,224421,32336795,9938,18920
78524,34189,1356,0.02533638,0.27,68020463,12526240,156558,188039
62222,59948,419,0.00952101,0.03,35514661,754069,23350,5833
42429,42459,21720,0.00163948,0.005,2953623,4611198,106122,25055
74122,41736,4434,0.00182521,0.07,5646540,12956914,54586,51100
44352,1690,29775,0.00047003,0.27,35251,13594279,13902,19569
118723,60359,1978,0.00034241,0.25,2453753,29854532,22867,33824
5211,22027,8867,0.02533638,0.13,2908344,25393712,32471,26308
37321,9144,21010,0.00056263,0.03,192024,5764014,16830,10135
38096,79519,12287,0.00296184,0.0005,8972688,488551,183438,3692
149249,28237,4499,1.65E-05,0.25,69581,31763777,19281,5847
73745,8874,21035,0.00019487,0.13,127534,24268210,26887,28265
146971,24597,2151,0.00108175,0.23,3910608,12169905,32964,54953
37191,79610,13695,2.48E-05,0.05,73518,54513619,31713,5590
84888,12868,14280,0.00078778,0.15,860545,27565358,40874,118422
66504,78876,13818,0.00370564,0.05,19438339,54499296,488389,236937
97210,14396,17648,0.00296184,0.03,4145168,7622660,181428,132980
99651,19936,9663,0.00370564,0.23,7361879,44311901,187838,271436
36175,27555,49444,0.00860544,0.05,8578138,68124160,685788,314825
55220,10260,1949,0.02533638,0.15,14354821,3000325,41718,36485
82834,27528,11551,0.00370564,0.07,8450081,22259394,208725,169476
70521,19135,12614,0.00370564,0.2,5000685,48278074,125047,222126
79855,32646,1287,0.01084252,0.03,28266198,1261417,65891,18329
112408,39653,3825,0.00013363,0.03,595644,4550693,12319,5447
98800,40382,2182,0.00370564,0.23,14784635,20269144,80338,78570
145900,29249,749,0.00082487,0.1,3520111,2193534,9430,14734
5814,74342,3779,0.00160539,0.15,693896,42147719,8625,5512
45989,23295,46367,0.00041097,0.05,440296,54008623,84620,104981
84372,12935,8310,0.00296184,0.3,3232427,32249286,59248,149046
78857,9775,6845,0.02533638,0.15,19530045,10037439,224261,205157
84464,33862,3693,0.00041097,0.27,1175461,33766314,22580,44875
122798,80676,2614,0.00031941,0.25,3164380,52737410,47521,67362
103489,82431,15848,8.43E-05,0.03,719056,39191679,72356,36326
89328,58272,4475,0.00296184,0.005,15417465,1304133,160993,24984
62017,15100,12497,0.00860544,0.005,8058934,943624,165502,32038
137649,41214,3684,0.00952101,0.3,54014637,45552213,637330,566427
133800,71093,3860,0.00034241,0.15,3257110,41167728,52591,88024
96243,11699,14317,0.00034241,0.27,385553,45227519,32920,106502
122333,30907,8624,0.00296184,0.2,11198692,53310681,334922,308527
95026,34277,7110,0.00082282,0.07,2680162,17061553,53255,79110
38113,47946,17579,0.00163948,0.01,2996014,8428636,92132,34443
83857,28676,21086,2.48E-05,0.05,59708,30233289,40483,4931
42629,10613,23673,0.00296184,0.005,1340071,1256277,50267,11341
96630,63544,2636,0.00491597,0.15,30185858,25131143,223811,135057
34934,38196,2189,0.00860544,0.23,11483048,19234364,39400,42885
50174,13136,4728,0.00108175,0.27,713000,16771400,9920,30232
94870,79073,1688,0.00182521,0.17,13692307,22692559,60299,56206
